id,name,short_description,full_description,topic,languages,prohibited_content,categories
58e291bceedf665e4fb5ed31,fern.surgeplay.com,"A Minecraft-focused instance, hosted by SurgePlay. Modded and vanilla accepted, as well as general chatter.","A Minecraft-focused Mastodon instance run by SurgePlay. You're free to talk about anything else, as long as it's not overly offensive or obnoxious. Please put a warning on any content that others may not want to see. TL;DR: Have fun and don't be a jerk!",Minecraft,['en'],"['nudity_nocw', 'pornography_nocw', 'sexism', 'racism', 'illegalContentLinks', 'spam', 'advertising', 'hateSpeeches', 'harrassment', 'spoilers_nocw']",[]
58e2a6b69c99175decef88c7,octodon.social,The cutest general purpose safe instance. We love science and beautiful things. LGBT+ and PoC are welcome.,"Octodon.social is a general purpose instance, where topics are mostly technical and scientific, but there's a bit of everything.
Federates with everything, allows nearly everything lawful in France.
Moderation policy is explained in details on our /about/more page; it is a pretty safe space. Harassment, bullying, or hate speech are not tolerated.
As the definition is often forgotten and altered, a safe space is a community where people (especially women, PoC and LGBT+) are protected from oppression and everyday harassment. Our goal is for every member to feel safe and welcome. (but of course that doesn't apply if you break local rules by being aggressive towards someone else, for instance)",None,"['en', 'fr']","['nudity_nocw', 'pornography_nocw', 'sexism', 'racism', 'spam', 'advertising', 'hateSpeeches', 'harrassment']",[]
58e2b78b21ace530cfec9c50,witches.town,"A nice place on Mastodon for queer, feminists, anarchists and stuff as well as their sympathizers.","Witches Town est là pour fournir un endroit accueillant sur Mastodon pour les personnes queers, féministes, anarchistes et compagnie ainsi qu'à leur sympathisant⋅e⋅s. Nous sommes surtout des francophones mais vous êtes bienvenu⋅e⋅s même si vous parlez une autre langue.

Il n'existe pas d'""espace safe"", nous évoluons dans le monde réel, nous avons tou·te·s des cicatrices et nous avons tou·te·s blessé quelqu'un. Ce lieu a pour but de réduire le volume du monde extérieur et d'amplifier les voix qui doivent se battre pour être entendues ailleurs. Ce lieu ne sera pas parfait, il ne sera pas toujours ce que l'on voudrait qu'il soit, mais il nous appartiendra et nous le construirons ensemble.

Notez que si vous n'aimez pas les SJW (Social Justice Warriors), les féminazies, les antifascistes, etc vous gagnerez probablement du temps en vous inscrivant ailleurs.

Quelques règles :

- Ne participez pas à du harcèlement, sous quelque forme que ce soit.
- Ne rendez pas publiques des conversations privées ou des DM.
- Les injures raciales, sexistes ou oppressives en général vous vaudront d'être suspendu, même utilisés dans des conversations non-publiques.
- Il est permis de poster du porn ou de la nudité mais uniquement en utilisant la fonction NSFW et en aucun cas sur une timeline publique. Votre compte passerait en mode Silence. (Demandez autour de vous comment faire des posts non-publics)
- Soyez gentil⋅les les un⋅es avec les autres.

---

Witches Town is made to provide a nice place on Mastodon for queer, feminists, anarchists and stuff as well as their sympathizers. We are mostly french-speaking people but you are welcome even if you speak another language.

There is no such thing as a safe space. We exist in the real world and we all carry scars and have caused wounds. This space seeks to turn down the volume of the world outside and amplify the voices that have to fight to be heard elsewhere. This space will not be perfect. It will not always be what we wish it to be , but it will be ours together and we will work on it side by side.

Please take note that if you don't like SJWs, feminazies, antifa or whatever, it might save you some time to go somewhere else.

Some rules:

- Do not engage in harassment of any kind.
- Do not publish private conversations or DMs.
- Racial, sexist and other oppressive slurs will get you suspended, even in non-public conversations.
- You can post porn and nudity, but you must use the nsfw flag and do not post on the public timeline or you will be silenced (ask around how to make unlisted posts)
- Be nice to each other",queer anarcho-feminism,"['en', 'fr']","['nudity_nocw', 'pornography_nocw', 'spam', 'advertising', 'spoilers_nocw']","['activism', 'lgbt', 'poc']"
58e2ec2721ace530cfec9c65,mastodon.club,"A Canadian based Mastodon platform, open to people from everywhere.","What's a Moosetodonian?

Official Moosetodonians are people from this local instance who are recognized for their contributions to the community. We recognize monetary donations, code contributions, and community participation and support.

Supporting This Instance

Mastdodon.club is a personally created and funded instance. Your generous donations help support the costs of operating and developing new features, which are growing with the size of our local community. Continued donations as small as $3-5 will help ensure the longevity of our instance.

Fosspay (official)
PayPal.me (alt.)
Bitcoin: 39gkNYdkm1u2kUqpkFFAtbjJ4c9MRjvnE5
A shout-out to Cloud-A Computing for discounting some of the raw infrastructure required to run this community project! It wouldn't be possible without you.

Code of Conduct

This instance is for people interacting with other people. Please no corporate shills and direct advertisement. You'll get yourself banned real fast.

Make use of Content Warnings & NSFW tags for appropriate content. Do not mis-use hashtags, they're not for promoting your products or photography in #introduction or #mastodon.

No hate speech (contributing or inciting), death threats, illegal activity, link & local stream spamming, etc.

Bots must respect the #nobot hashtag

Admin swings ban hammer, rulings final.","Canadians (actual and in spirit) talking about Life, IT/Tech, and Politics mostly.",['en'],"['illegalContentLinks', 'spam', 'advertising', 'hateSpeeches', 'harrassment']",[]
58e2fced21ace530cfec9c67,anticapitalist.party,Anticapitalist instance. Registrations invite-only. More infos on https://anticapitalist.party/about/more.,"Hello everyone! Basic social rules apply here, and the moderation follows up on each report. Every rule violation can end up in an account suspension.

- In particular, all forms of transphobia, misogyny, homophobia, racism, fat-shaming, ableism, engaging in harrasment, insults, etc are strictly prohibited, and will be dealt with in due course. There is no tolerance on shit like this, accounts are suspended without talking, period.

- anticapitalist.party wasn't designed for sensitive militant operations. Such operations shouldn't be discussed here, and on any other social network.

- Our servers are under French jurisdiction. French laws do apply here. Illegal content will be deleted, and may lead to an account suspension.

- Porn is allowed, with NSFW tag on. Porn without that tag will be deleted.

- Content Warning HAS to be used for the following :
* violence (text and medias)
* stories including *phobias (text and medias)
* sexual content (text and medias)
Please remember to use the NSFW tags for all of the above, are medias are displayed enven with Content Warning on.

- Parody accounts are allowed, and are advised to specify that they are as such in their description or name.",Anticapitalism / leftism / intersectional feminism,"['en', 'fr']","['nudity_nocw', 'pornography_nocw', 'sexism', 'racism', 'spam', 'advertising', 'hateSpeeches', 'harrassment']",[]
58e39c0d9fd61d64cd8e8a31,pouet.it,"Instance anarchostalinienne et allié·e·s membre des fédérations OStatus (GNU social, PostActiv, Pleroma) et ActivityPub.","Instance anarchostalinienne et allié·e·s membre des fédérations OStatus (GNU social, PostActiv, Pleroma) et ActivityPub.",None,"['en', 'fr', 'pl', 'es']","['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']","['activism', 'music']"
58e3ecaae1a16a694963891e,mstdn.io,"Fast, secure and up-to-date instance, welcoming everyone around the world. Join us!","Why should you sign up on mstdn.io?

This instance is not focused on any theme or subject, feel free to talk about whatever you want. Although the main language is english, we accept every single language and country.

We're connected to the whole OStatus/ActivityPub fediverse and we do not block any foreign instance nor user.

We do have rules (see below), but the goal is to have responsible users. So far we haven't had any issue with moderation

The instance uses a powerful server to ensure speed and stability, and it has good uptime. We follow state-of-the-art security practices. See below for more technical details

Also, we have over 300 custom emojis to unleash your meming potential 👍",None,"['en', 'fr', 'ja', 'pt']","['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",[]
58e3ef02e1a16a6949638927,mastodon.top,Mastodon.top is an mastodon instance hosted in France by VirtuBox. Our instance is updated with each new release of mastodon. ,"Français :

Mastodon.top est une instance mastodon hébergée en France par VirtuBox. Notre instance est mise à jour à chaque nouvelle release de mastodon. Visitez notre page à propos pour en savoir plus sur les règles de l'instance et notre politique de modération.

English :

Mastodon.top is an mastodon instance hosted in France by VirtuBox. Our instance is updated with each new release of mastodon. Visit our about page to learn more about the rules of the instance and our moderation policy.",None,"['en', 'fr']","['nudity_nocw', 'spam']",[]
58e3f012e1a16a694963892e,toot.cafe,"General interest plus programming, JavaScript, CSS, web. Purple-themed. 💜",See https://toot.cafe/about/more for full description,"General, web, JavaScript, CSS",['en'],[],['tech']
58e400a5b4531557cb3e0e97,status.dissidence.ovh,Generalistic Instance,Generalistic Instance,None,"['en', 'fr']",[],[]
58e41764b6383e4a51899b3d,social.glados.ch,French/english generalistic instance. ,"French/english generalistic instance. Be nice with each other. When it's necessary, please use NSFW tags on photos and content warning. Have fun !",None,"['en', 'fr']","['sexism', 'racism', 'illegalContentLinks', 'spam', 'advertising', 'harrassment']",[]
58e4411f5af3b835dfd51afe,social.targaryen.house,"This is a generalist instance. Either you like Game of Thrones or not, either you support the house Targaryen or not, you will always be welcome.","social.targaryen.house is an instance where all opinions are welcome. Most people are talking in english and in french. This instance is using a customized code : ashes & fire CSS theme, limit of characters per post are increased to 800 which is still reasonable limit for microblogging.

We believe in freedom speech and human rights like they were defined in the Declaration of the Rights of Man and of the Citizen (1789). The moderation is impartial and will intervene as less as possible in the content you can see.

This instance is also focused on security and performance.",None,"['en', 'fr']","['pornography_nocw', 'spam', 'spoilers_nocw']",[]
58e49ae81403e51fba55730e,cybre.space,A cyberpunk/glitchpunk/retro-futurist instance with a small but active community. Writers/Artists/Programmers welcome!,"Cybrespace strives to be a tightly-knit community of cyber-enthusiasts. Artists, musicians, and writers; Programmers, engineers and other technical people; we emphasize creativity (but don't require it). Anyone can join, but be warned we will enforce the mastodon.social code of conduct to ensure the best possible experience for as many people in the community as possible.",Cyberpunk,"['en', 'fr', 'de', 'es']","['nudity_nocw', 'pornography_nocw', 'spam', 'advertising', 'spoilers_nocw']","['activism', 'art', 'books', 'furry', 'games', 'music', 'tech']"
58e4a3dbd375714b16c9c532,mastodon.opportunis.me,"Une instance ouverte à tou.te.s, qui se veut un minimum inclusive.","Une instance ouverte à tou.te.s, qui se veut un minimum inclusive :
- Serveur réservé aux personnes parlant français ou anglais, par souci de facilité de modération.
- Sexisme, racisme, homophobie et toutes formes d'exclusion des minorités sont à proscrire pour le bien être de tou.te.s.
- Respectez la vie privée des personnes.
- Utilisez les tags et autres CW que vous jugez adaptés, en particulier pour le contenu NotSafeForWork (NSFW).
- Essayez d'être prévénant.e.s et inclusif.ve.s.
- Si l'un de vos propos est perçu comme excluant et que quelqu'un vous en informe, écoutez. Nous sortirons tou.te.s grandi.e.s d'un tel dialogue.

Sachez que nous préférerons toujours notre liberté d'être ensemble à votre liberté d'exclure.",None,"['en', 'fr']","['nudity_nocw', 'pornography_nocw', 'spam', 'advertising', 'spoilers_nocw']",[]
58e4d48be4f3ee39913233ac,niu.moe,Welcome to your niu world ! 💗 We are a cute and loving international community Ｏ(≧▽≦)Ｏ !,"We are a moderated instance, that aren't supporting harassment nor hateful speech, so what set us apart? Well, unlike many instances like us, we won't prevent you to interact with instances that aren't respecting our rules.
The main language used here is English, but for most of us this isn't our main language, so it's a great place to learn! 

Here, we are open to any subjects, but the main ones are:
- Fictions / Animes / Mangas / Comics
- Gaming / e-Sport / Retro / Speedrun
- Programming / Security / IT stuffs
- Sometime politics / World events
- Pictures and story from around the world <3 

If you want more infos, visit our instance ^-^ !",💗 Friendly 🎎 Anime 🎮 Gaming 🖥️ Computer things,"['en', 'fr']","['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']","['anime', 'games', 'tech']"
58e4e78b70607d2ad8fbcd40,mastodon.roflcopter.fr,"Instance gérée par roflcopter.fr membre du collectif C.H.A.T.O.N.S.
--
This instance is managed by roflcopter.fr team.
Proud member of C.H.A.T.O.N.S.","=== Charte & Manifeste
roflcopter.fr adhère à la charte et manifeste des CHATONS.

=== Infrastructure
Les services de roflcopter.fr sont hébergés en France sur plusieurs serveurs dédiés loués chez Online.net.
Nous utilisons exclusivement que des logiciels open-source.
Les données hébergées sont stockées sur un support chiffré et sauvegardé :
- via un système de réplication temps rééel (DRBD)
- de façon quotidienne et incrémentielle, le tout exporté sur un serveur hébergé chez OVH

== Utilisation des services
* L’utilisation des services se fait à vos propres risques. Ils sont fournis tel quel.
* Vous êtes responsable de la sécurité de votre compte et de votre mot de passe.
* roflcopter.fr ne peut pas et ne sera pas responsable de toutes pertes ou dommages résultant de votre non-respect de cette obligation de sécurité.
* Vous êtes responsable de tout contenu affiché et de l’activité qui se produit sous votre compte.
* Vous ne pouvez pas utiliser le service à des fins illégales ou non autorisées.
* Vous ne devez pas transgresser les lois de votre pays.
* Vous ne pouvez pas envoyer, télécharger, publier sur un site ou blog, distribuer, diffuser tout contenu illégal, diffamatoire, harcelant, abusif, frauduleux, contrefait, obscène ou autrement répréhensible.
* Vous ne pouvez pas vendre, échanger, revendre, ou exploiter dans un but commercial non autorisé un compte du service utilisé.
* roflcopter.fr se réserve le droit, à tout moment de modifier ou d’interrompre, temporairement ou définitivement, le service avec ou sans préavis.
* roflcopter.fr ne sera pas responsable envers vous ou tout tiers pour toute modification, suspension ou interruption du service.",None,"['en', 'fr', 'ja']","['pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']",[]
58e4e7a670607d2ad8fbcd42,mastodon.hafen.io,Fast and up-to-date mastodon instance. Running on v1.2,"We are dedicated to providing a harassment-free experience for everyone, and we do not tolerate harassment in any form. 

Please follow our code and rules:



Be professional.
Be responsible.
Be welcoming.
Be kind.
Be respectful of other viewpoints and ideas.
Be supportive and look out for each other.


Don't flood
Use NSFW tags for sensitive content
Use content warning for spoilers",None,"['en', 'de']",[],[]
58e502c8a9687d34c5c9cd3b,im-in.space,"An instance for everyone. We're a bit space-themed and we use the custom ""Flat, Dark and Colourful!"" stylesheet.","SPAAAAACE! This instance is available for everyone, especially if you like space,  Portal (Space Core!), or that you want a cool domain. 
This instance is using some space-themed vocabulary and uses the ""Flat, Dark and Colourful!"" stylesheet made by @dia@aleph.land.",None,"['en', 'fr']","['nudity_nocw', 'pornography_nocw', 'spam', 'advertising']",[]
58e53bae05aa865850c3357e,magi.systems,MAGI::Systems,"This Mastodon instance is for people interested in Programming and Anime.

Though English is the main language, all languages are welcomed. Site administrator can speak 中文, English, Français and 日本語 (with support of Google Translator ;) ). So, be nice and have a nice day.

Contact @ryan if you have any question.

Follow @status for server status updates.",anime programming,['en'],"['nudity_nocw', 'pornography_nocw', 'sexism', 'racism', 'illegalContentLinks', 'spam', 'advertising', 'hateSpeeches', 'harrassment', 'spoilers_nocw']",[]
58e56cd5b296d0602ce90e44,mastodon.blue,"This instance is hosted on a dedicated server, in France.","This instance is hosted on a didicated server, in France. 
It has the following specifications :

• Core™ i5-750 
• 6c/4t - 2.67 GHz/2.67 GHz 
• 16Go RAM 
• 1x2To 
• 500 Mbps bande passante 
• Debian 8",None,"['en', 'fr']",[],[]
58e57d4741cd4f36ac1b6ec3,meow.social,"This instance is focused around the furry community, and is open to anyone interested in it.","This instance is focused around the furry community, and is open to anyone interested in it. It was created by @Tiwy57 originally for a small group of furry friends, but thought it might as well be open to all fluffies and scalies !",Furry,"['en', 'fr']","['nudity_nocw', 'pornography_nocw', 'illegalContentLinks']",['furry']
58e5ed923d4b8079cf520ba0,social.homunyan.com,"General purpose social network with a focus on anime, video games and socialism.",Anime is great.,None,['en'],"['nudity_nocw', 'pornography_nocw', 'spam', 'advertising', 'spoilers_nocw']","['anime', 'games']"
58e60ce9d54a5027fc0b7040,social.etc-services.de,"Open Mastodon instance, feel free to join us ;) ","Just another (open) Mastodon instance. Hosted in germany, we're still looking for some german users ;)
We value free speech as long as it's not harming anybody. Just don't be a jerk!
",None,"['en', 'de']",[],[]
58e6204a5002cc7716dd3eee,mamot.fr,"Mamot.fr is the mastodon social network instance maintained by La Quadrature du Net, digital freedom organization based in Paris","mamot.fr is maintained by La Quadrature du Net sysadmin team, a team of volunteers who monitor, upgrade and answer to reports on the services provided by La Quadrature to everyone. We also provide Jabber, Jitsi meet, Searx and Etherpad service to anyone who need it. 
Our policy has been specifically written by our team, and is available in French here : https://mamot.fr/terms",None,"['en', 'fr']",[],[]
58e64b2e5002cc7716dd3ff1,rivqr.xyz,"This instance is more or less focused on music and net art, come and join us!","This instance is hosted on a VPS in France. 
Specs : 

• 2x x86-64bits vCores 
• 2 GB of RAM 
• 50 GB SSD 
• 200 Mb/s unlimited bandwidth 
• Debian 8.2

","Music, net art, noise","['en', 'eo', 'fr']","['nudity_nocw', 'pornography_nocw', 'sexism', 'racism', 'spam', 'hateSpeeches', 'harrassment']",[]
58e64e285002cc7716dd4000,mastodon.me.uk,"A Mastodon instance, hosted in the UK, with a tech inclination but open to all.","A general Mastodon instance, hosted in the UK. We have a defined code of conduct and silence (but not block) toxic instances. Many users are technologists, but the instance is open to all and general discussion is welcomed.",None,['en'],"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']",['tech']
58e6538b5002cc7716dd402b,mastodon.night.coffee,mastodon.night.coffee,obsolete instance,None,['en'],[],[]
58e6764a0153ce486ace6470,manx.social,An instance for the Isle of Man,"A Mastodon instance for the Isle of Man, Manxies, TT Races, Manx Cats and Kippers","Localised, Manx, Isle of Man",['en'],[],[]
58e6a7ad0153ce486ace6525,mastodon.mita.me,"Same as any other instance really, except running off of a netbook from 2008 and doing a lot of other things.",Sort of a side project. Runs at a reasonable speed given the hardware. Will be migrated to better hardware ~July 2017.,None,"['en', 'ja']","['nudity_nocw', 'pornography_nocw', 'sexism', 'racism', 'illegalContentLinks', 'spam', 'advertising', 'hateSpeeches', 'harrassment', 'spoilers_nocw']",[]
58e6d0a40153ce486ace65c1,fart.social,"We're a pretty simple server based out of Phoenix, for monetary reasons we will probably cap at about 300 users. #phxtech on freenode",We primarily cater to developers out of Phoenix,"shitposting, phoenix development scene.",['en'],"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'sexism', 'racism', 'illegalContentLinks', 'spam', 'advertising', 'hateSpeeches', 'harrassment']",[]
58e735d80153ce486ace6671,freeradical.zone,"Open discussion but skewed toward the topics of technology, information security, privacy, and their political implications.","Free Radical is our social media haven. It's where we talk in an inviting, respectful setting where we can set our own boundaries. We'd love for you to join us!",None,['en'],"['nudity_nocw', 'pornography_nocw', 'spam', 'advertising']","['activism', 'tech']"
58e7b0c58313ad45cf8040a7,mastodon.fun,Mastodon fun is an open Instance for everyone :),"Do not hesitate to use as much as possible of gif :D

",None,"['en', 'fr']",[],[]
58e7c6bc8313ad45cf804104,mastodon.survival-machines.fr,"This instance is a free place for everyone wanting to join, hosted in France on a dedicated server.","This instance is a free place for everyone wanting to join, hosted in France on a dedicated server.<br />
You are free to post everything you want to, but you have to respect theses few lines of conduct:<br />
<br />
 - Do not harass anyone on the fediverse<br />
 - If you have any problem with someone, please try to solve it, use the ""Mute"" or ""Block"" feature, or tell the problem to <a href=""/@Slaynash"">@Slaynash</a><br />
 - Do not post content illegal in Europe / France<br />",None,"['en', 'fr']",['illegalContentLinks'],[]
58e7e5f68313ad45cf804159,misanthropy.wang,Small instance that started as a joke because the domain was funny.,Because domains are cheap and people are annoying.,"People, what a bunch of bastards.","['en', 'de']","['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']","['humor', 'tech']"
58e7f68e8313ad45cf80418b,queer.party,Queer Party is a queer-oriented Mastodon instance which generally aligns itself with the policies and goals of a few other instances.,"Queer Party is a queer-oriented Mastodon instance which generally aligns itself with the policies and goals of other instances such as mastodon.social, awoo.space and icosahedron.website, aiming as much as possible to be a safe space for its users. Federation is fully open, and operated in blacklist mode only, with the list being publicly available.","Queerness encouraged, all are welcome.",['en'],"['pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']",[]
58e807f28313ad45cf8041d4,mastodon.codingfield.com,"Mastodon is a great social network, and this instance is my contribution to the network. Feel free to join, toot, boost and federate with others!","This instance is hosted by @jf@mastodon.codingfield.com, the owner of https://codingfield.com. Anyone is welcomed on this instance, as long as they stay polite, friendly and respectful.","Anything, computer, software design, IoT, web, new technologies","['en', 'fr']","['sexism', 'racism', 'illegalContentLinks', 'spam', 'hateSpeeches', 'harrassment']",[]
58e82d3c8313ad45cf804209,masto.pt,Portuguese instance,"Masto.pt is a generalist instance that strives to be a safe place for the Portuguese and the Portuguese speaking communities. For us to gather around and merrily frolic around the Fediverse! Please read the rules before joining: https://masto.pt/about/more#regras and remember, be nice to each other! :)",Portuguese speakers,"['en', 'pt']","['nudity_nocw', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",[]
58e846688313ad45cf80422e,vulpine.club,foxes and fox-like creatures,"The Vulpine Club is a community for foxes and their associates, friends, fans, and other furry (and non-furry) creatures. We're pretty friendly and welcoming. =^^=","general, furry, queer, LGBTQ, foxes",['en'],"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam']","['art', 'furry', 'lgbt']"
